Sorted result at 2019-03-05 17:12:54.131251
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.892008823232554)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8920055651391687)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8920055651391687)
(('add_expensive_neighborhood_feature', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8920055651391676)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8919941082318891)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8918800038861603)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8918716659255649)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8918420049375815)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8918420049375815)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8917190389265592)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8916973192919222)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Baths', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8916973192919222)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8916944929133612)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8916944929133612)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Baths', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8913753080388664)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8913496971876173)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'sum_Baths', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8913007195188006)
(('add_expensive_neighborhood_feature', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8913007195187994)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8912991739221561)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8912211598523451)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8912210983023205)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8912210983023205)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8912208751336091)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.891040248700472)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8910063012010611)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8910063012010611)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8910031941022101)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8910031941022101)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8908802058263534)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8908787534584967)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8908787534584967)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'drop_empty_features', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8908751506083273)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8908751506083273)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8906318949997191)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'remove_garage_cars_feature', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8906239203932644)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8906066403809788)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8906046246495372)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8905395624029422)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8905395624029422)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8903066268183044)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8902518786676674)
(('add_expensive_neighborhood_feature', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8902291730555275)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8902291730555272)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Porch', 'sum_Baths', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8902291730555272)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8902213348896071)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Porch', 'sum_Baths', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8902213348896071)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.890207647655982)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'sum_SF', 'sum_Baths', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.890207647655982)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'drop_empty_features', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8902029387665067)
(('add_expensive_neighborhood_feature', 'add_years_since_last_remodel', 'sum_SF', 'sum_Baths', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness', 'remove_under_represented_features'), 0.8902029387665067)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_Baths', 'drop_empty_features', 'remove_lotfrontage_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8901034152491837)
(('add_expensive_neighborhood_feature', 'add_home_quality', 'add_years_since_last_remodel', 'sum_SF', 'drop_empty_features', 'remove_garage_cars_feature', 'drop_categories', 'remove_too_cheap_outliers', 'categorical_to_ordinal', 'transform_sales_to_log_of_sales', 'fix_skewness'), 0.8900361554192917)
